700 244650
1 81 10
1 82 3
1 83 8
1 84 5
1 85 3
1 86 6
1 87 3
1 88 5
1 89 5
1 90 4
1 91 9
1 92 7
1 93 1
1 94 9
1 95 10
1 96 3
1 97 3
1 98 4
1 99 2
1 100 9
1 101 4
1 102 5
1 103 3
1 104 3
1 105 5
1 106 6
1 107 2
1 108 8
1 109 6
1 110 8
1 111 2
1 112 7
1 113 10
1 114 9
1 115 2
1 116 4
1 117 4
1 118 4
1 119 8
1 120 10
1 121 9
1 122 7
1 123 8
1 124 1
1 125 5
1 126 9
1 127 5
1 128 9
1 129 2
1 130 7
1 131 9
1 132 6
1 133 3
1 134 2
1 135 10
1 136 10
1 137 7
1 138 1
1 139 7
1 140 5
1 141 10
1 142 10
1 143 1
1 144 9
1 145 10
1 146 4
1 147 2
1 148 5
1 149 9
1 150 10
1 151 7
1 152 8
1 153 8
1 154 4
1 155 8
1 156 2
1 157 3
1 158 3
1 159 2
1 160 6
1 161 1
1 162 10
1 163 1
1 164 5
1 165 1
1 166 2
1 167 4
1 168 8
1 169 5
1 170 2
1 171 2
1 172 4
1 173 1
1 174 4
1 175 3
1 176 2
1 177 8
1 178 6
1 179 7
1 180 6
1 181 5
1 182 3
1 183 3
1 184 2
1 185 8
1 186 3
1 187 5
1 188 2
1 189 7
1 190 6
1 191 8
1 192 9
1 193 6
1 194 10
1 195 3
1 196 8
1 197 4
1 198 7
1 199 5
1 200 8
1 201 10
1 202 8
1 203 3
1 204 3
1 205 2
1 206 7
1 207 4
1 208 1
1 209 3
1 210 2
1 211 6
1 212 7
1 213 6
1 214 1
1 215 1
1 216 4
1 217 5
1 218 7
1 219 7
1 220 1
1 221 3
1 222 6
1 223 9
1 224 10
1 225 6
1 226 1
1 227 7
1 228 1
1 229 9
1 230 4
1 231 8
1 232 9
1 233 3
1 234 2
1 235 1
1 236 6
1 237 9
1 238 6
1 239 6
1 240 1
1 241 8
1 242 4
1 243 9
1 244 3
1 245 4
1 246 1
1 247 8
1 248 8
1 249 8
1 250 7
1 251 10
1 252 2
1 253 2
1 254 10
1 255 1
1 256 9
1 257 10
1 258 9
1 259 9
1 260 1
1 261 4
1 262 8
1 263 1
1 264 7
1 265 10
1 266 3
1 267 2
1 268 8
1 269 8
1 270 10
1 271 8
1 272 7
1 273 3
1 274 8
1 275 2
1 276 6
1 277 9
1 278 9
1 279 5
1 280 6
1 281 7
1 282 6
1 283 7
1 284 9
1 285 5
1 286 9
1 287 9
1 288 4
1 289 9
1 290 8
1 291 6
1 292 3
1 293 5
1 294 6
1 295 1
1 296 6
1 297 8
1 298 4
1 299 3
1 300 8
1 301 3
1 302 2
1 303 4
1 304 5
1 305 10
1 306 5
1 307 2
1 308 10
1 309 6
1 310 8
1 311 5
1 312 2
1 313 3
1 314 3
1 315 2
1 316 7
1 317 3
1 318 1
1 319 3
1 320 3
1 321 10
1 322 8
1 323 5
1 324 4
1 325 6
1 326 7
1 327 2
1 328 5
1 329 1
1 330 4
1 331 2
1 332 3
1 333 8
1 334 8
1 335 10
1 336 9
1 337 2
1 338 1
1 339 8
1 340 7
1 341 1
1 342 2
1 343 1
1 344 3
1 345 6
1 346 2
1 347 10
1 348 8
1 349 2
1 350 4
1 351 2
1 352 3
1 353 1
1 354 7
1 355 9
1 356 8
1 357 5
1 358 10
1 359 3
1 360 5
1 361 5
1 362 6
1 363 10
1 364 2
1 365 3
1 366 9
1 367 10
1 368 7
1 369 1
1 370 7
1 371 5
1 372 1
1 373 10
1 374 5
1 375 6
1 376 5
1 377 7
1 378 7
1 379 4
1 380 10
1 381 10
1 382 6
1 383 3
1 384 2
1 385 4
1 386 1
1 387 10
1 388 10
1 389 2
1 390 4
1 391 5
1 392 6
1 393 9
1 394 6
1 395 8
1 396 4
1 397 4
1 398 9
1 399 10
1 400 6
1 401 6
1 402 4
1 403 9
1 404 7
1 405 1
1 406 4
1 407 4
1 408 7
1 409 2
1 410 9
1 411 8
1 412 1
1 413 6
1 414 2
1 415 2
1 416 1
1 417 4
1 418 1
1 419 1
1 420 5
1 421 6
1 422 5
1 423 3
1 424 5
1 425 10
1 426 10
1 427 10
1 428 5
1 429 10
1 430 9
1 431 2
1 432 7
1 433 4
1 434 10
1 435 4
1 436 4
1 437 5
1 438 7
1 439 2
1 440 6
1 441 7
1 442 2
1 443 8
1 444 3
1 445 3
1 446 10
1 447 3
1 448 9
1 449 2
1 450 3
1 451 5
1 452 8
1 453 9
1 454 7
1 455 4
1 456 8
1 457 8
1 458 3
1 459 4
1 460 8
1 461 3
1 462 6
1 463 4
1 464 8
1 465 7
1 466 9
1 467 2
1 468 4
1 469 7
1 470 5
1 471 1
1 472 4
1 473 6
1 474 9
1 475 6
1 476 1
1 477 10
1 478 10
1 479 9
1 480 1
1 481 3
1 482 5
1 483 10
1 484 1
1 485 2
1 486 3
1 487 1
1 488 1
1 489 7
1 490 4
1 491 10
1 492 1
1 493 9
1 494 4
1 495 9
1 496 8
1 497 4
1 498 2
1 499 1
1 500 1
1 501 6
1 502 1
1 503 4
1 504 2
1 505 9
1 506 1
1 507 2
1 508 8
1 509 10
1 510 2
1 511 1
1 512 4
1 513 6
1 514 10
1 515 5
1 516 9
1 517 5
1 518 7
1 519 10
1 520 3
1 521 10
1 522 1
1 523 4
1 524 1
1 525 4
1 526 4
1 527 8
1 528 10
1 529 5
1 530 10
1 531 10
1 532 2
1 533 10
1 534 5
1 535 3
1 536 1
1 537 7
1 538 6
1 539 10
1 540 6
1 541 7
1 542 2
1 543 2
1 544 5
1 545 4
1 546 8
1 547 3
1 548 8
1 549 4
1 550 4
1 551 10
1 552 3
1 553 5
1 554 5
1 555 5
1 556 10
1 557 10
1 558 4
1 559 9
1 560 4
1 561 3
1 562 10
1 563 6
1 564 5
1 565 4
1 566 10
1 567 5
1 568 10
1 569 6
1 570 6
1 571 8
1 572 4
1 573 10
1 574 1
1 575 8
1 576 3
1 577 8
1 578 3
1 579 10
1 580 1
1 581 6
1 582 1
1 583 5
1 584 2
1 585 8
1 586 10
1 587 4
1 588 7
1 589 3
1 590 2
1 591 3
1 592 6
1 593 4
1 594 10
1 595 2
1 596 9
1 597 9
1 598 8
1 599 1
1 600 6
1 601 3
1 602 8
1 603 10
1 604 2
1 605 10
1 606 7
1 607 4
1 608 7
1 609 9
1 610 5
1 611 7
1 612 7
1 613 8
1 614 3
1 615 8
1 616 5
1 617 2
1 618 1
1 619 1
1 620 7
1 621 5
1 622 5
1 623 4
1 624 8
1 625 4
1 626 5
1 627 8
1 628 3
1 629 2
1 630 8
1 631 10
1 632 6
1 633 7
1 634 9
1 635 10
1 636 6
1 637 6
1 638 3
1 639 2
1 640 6
1 641 10
1 642 10
1 643 2
1 644 7
1 645 3
1 646 2
1 647 1
1 648 6
1 649 4
1 650 3
1 651 2
1 652 10
1 653 8
1 654 7
1 655 9
1 656 3
1 657 1
1 658 7
1 659 5
1 660 4
1 661 4
1 662 7
1 663 10
1 664 1
1 665 5
1 666 9
1 667 6
1 668 2
1 669 3
1 670 10
1 671 8
1 672 4
1 673 9
1 674 1
1 675 10
1 676 3
1 677 4
1 678 2
1 679 9
1 680 8
1 681 5
1 682 2
1 683 7
1 684 4
1 685 9
1 686 6
1 687 6
1 688 1
1 689 2
1 690 3
1 691 7
1 692 5
1 693 9
1 694 6
1 695 7
1 696 3
1 697 6
1 698 3
1 699 7
2 3 10
2 4 2
2 5 4
2 6 4
2 7 2
2 8 6
2 9 3
2 10 7
2 11 10
2 12 5
2 13 5
2 14 7
2 15 1
2 16 8
2 17 5
2 18 4
2 19 8
2 20 10
2 21 1
2 22 1
2 23 3
2 24 3
2 25 7
2 26 10
2 27 1
2 28 4
2 29 6
2 30 6
2 31 9
2 32 8
2 33 2
2 34 8
2 35 1
2 36 7
2 37 1
2 38 5
2 39 2
2 40 4
2 41 1
2 42 3
2 43 10
2 44 7
2 45 1
2 46 10
2 47 4
2 48 6
2 49 5
2 50 4
2 51 7
2 52 5
2 53 4
2 54 2
2 55 10
2 56 2
2 57 1
2 58 10
2 59 5
2 60 6
2 61 7
2 62 3
2 63 6
2 64 10
2 65 2
2 66 8
2 67 8
2 68 5
2 69 2
2 70 2
2 71 10
2 72 2
2 73 4
2 74 9
2 75 8
2 76 5
2 77 10
2 78 4
2 79 2
2 80 4
2 81 9
2 82 8
2 83 10
2 84 4
2 85 9
2 86 9
2 87 5
2 88 1
2 89 1
2 90 9
2 91 7
2 92 9
2 93 3
2 94 4
2 95 9
2 96 6
2 97 1
2 98 6
2 99 10
2 100 3
2 101 7
2 102 9
2 103 6
2 104 3
2 105 9
2 106 4
2 107 7
2 108 8
2 109 9
2 110 8
2 111 3
2 112 7
2 113 7
2 114 3
2 115 10
2 116 8
2 117 1
2 118 4
2 119 8
2 120 3
2 121 4
2 122 6
2 123 2
2 124 8
2 125 9
2 126 10
2 127 5
2 128 2
2 129 7
2 130 5
2 131 4
2 132 6
2 133 5
2 134 9
2 135 8
2 136 4
2 137 4
2 138 6
2 139 1
2 140 2
2 141 5
2 142 6
2 143 8
2 144 1
2 145 8
2 146 9
2 147 10
2 148 10
2 149 4
2 150 10
2 151 5
2 152 7
2 153 5
2 154 6
2 155 6
2 156 6
2 157 7
2 158 1
2 159 7
2 160 3
2 161 7
2 162 10
2 163 10
2 164 3
2 165 10
2 166 7
2 167 6
2 168 6
2 169 4
2 170 9
2 171 7
2 172 8
2 173 4
2 174 7
2 175 1
2 176 3
2 177 7
2 178 10
2 179 4
2 180 1
2 181 9
2 182 8
2 183 7
2 184 6
2 185 3
2 186 5
2 187 1
2 188 1
2 189 7
2 190 9
2 191 6
2 192 5
2 193 10
2 194 5
2 195 7
2 196 9
2 197 4
2 198 3
2 199 4
2 200 7
2 201 3
2 202 3
2 203 5
2 204 8
2 205 1
2 206 5
2 207 10
2 208 7
2 209 6
2 210 5
2 211 7
2 212 5
2 213 3
2 214 6
2 215 2
2 216 7
2 217 2
2 218 4
2 219 8
2 220 8
2 221 2
2 222 3
2 223 2
2 224 1
2 225 9
2 226 10
2 227 1
2 228 2
2 229 4
2 230 5
2 231 9
2 232 6
2 233 9
2 234 3
2 235 3
2 236 1
2 237 7
2 238 4
2 239 7
2 240 2
2 241 1
2 242 6
2 243 8
2 244 5
2 245 3
2 246 1
2 247 1
2 248 4
2 249 4
2 250 10
2 251 1
2 252 5
2 253 4
2 254 4
2 255 5
2 256 3
2 257 5
2 258 6
2 259 4
2 260 9
2 261 2
2 262 2
2 263 4
2 264 2
2 265 6
2 266 9
2 267 2
2 268 4
2 269 4
2 270 10
2 271 8
2 272 6
2 273 5
2 274 5
2 275 10
2 276 7
2 277 8
2 278 3
2 279 2
2 280 1
2 281 2
2 282 4
2 283 8
2 284 8
2 285 7
2 286 4
2 287 10
2 288 2
2 289 1
2 290 5
2 291 2
2 292 2
2 293 9
2 294 7
2 295 5
2 296 4
2 297 5
2 298 8
2 299 8
2 300 1
2 301 8
2 302 5
2 303 6
2 304 4
2 305 1
2 306 8
2 307 3
2 308 10
2 309 10
2 310 4
2 311 1
2 312 3
2 313 8
2 314 10
2 315 10
2 316 6
2 317 3
2 318 1
2 319 9
2 320 4
2 321 6
2 322 10
2 323 7
2 324 6
2 325 7
2 326 4
2 327 1
2 328 3
2 329 1
2 330 8
2 331 5
2 332 8
2 333 4
2 334 1
2 335 2
2 336 7
2 337 8
2 338 6
2 339 8
2 340 9
2 341 9
2 342 10
2 343 1
2 344 8
2 345 9
2 346 1
2 347 4
2 348 2
2 349 1
2 350 4
2 351 7
2 352 8
2 353 4
2 354 3
2 355 3
2 356 2
2 357 6
2 358 4
2 359 4
2 360 9
2 361 3
2 362 9
2 363 6
2 364 9
2 365 1
2 366 9
2 367 7
2 368 10
2 369 4
2 370 4
2 371 8
2 372 5
2 373 4
2 374 8
2 375 2
2 376 4
2 377 10
2 378 7
2 379 5
2 380 3
2 381 1
2 382 3
2 383 10
2 384 6
2 385 8
2 386 5
2 387 7
2 388 5
2 389 10
2 390 2
2 391 3
2 392 4
2 393 2
2 394 9
2 395 2
2 396 4
2 397 9
2 398 10
2 399 3
2 400 5
2 401 6
2 402 2
2 403 1
2 404 1
2 405 2
2 406 4
2 407 4
2 408 1
2 409 1
2 410 1
2 411 3
2 412 3
2 413 3
2 414 5
2 415 8
2 416 10
2 417 9
2 418 6
2 419 5
2 420 8
2 421 9
2 422 7
2 423 1
2 424 1
2 425 7
2 426 5
2 427 4
2 428 8
2 429 6
2 430 9
2 431 2
2 432 1
2 433 10
2 434 4
2 435 1
2 436 3
2 437 7
2 438 5
2 439 4
2 440 9
2 441 7
2 442 8
2 443 1
2 444 9
2 445 2
2 446 10
2 447 9
2 448 2
2 449 7
2 450 5
2 451 9
2 452 6
2 453 1
2 454 2
2 455 6
2 456 10
2 457 8
2 458 1
2 459 7
2 460 3
2 461 9
2 462 10
2 463 6
2 464 1
2 465 3
2 466 8
2 467 3
2 468 9
2 469 2
2 470 8
2 471 8
2 472 10
2 473 8
2 474 10
2 475 9
2 476 9
2 477 10
2 478 9
2 479 1
2 480 6
2 481 3
2 482 1
2 483 3
2 484 5
2 485 4
2 486 8
2 487 4
2 488 1
2 489 1
2 490 2
2 491 6
2 492 9
2 493 1
2 494 1
2 495 1
2 496 5
2 497 8
2 498 6
2 499 4
2 500 2
2 501 5
2 502 3
2 503 1
2 504 2
2 505 4
2 506 1
2 507 1
2 508 5
2 509 9
2 510 3
2 511 3
2 512 1
2 513 3
2 514 5
2 515 6
2 516 9
2 517 5
2 518 1
2 519 9
2 520 5
2 521 3
2 522 6
2 523 5
2 524 3
2 525 8
2 526 6
2 527 8
2 528 6
2 529 3
2 530 3
2 531 9
2 532 7
2 533 7
2 534 1
2 535 1
2 536 10
2 537 2
2 538 3
2 539 7
2 540 10
2 541 5
2 542 9
2 543 3
2 544 9
2 545 3
2 546 8
2 547 9
2 548 7
2 549 8
2 550 8
2 551 1
2 552 10
2 553 5
2 554 6
2 555 5
2 556 3
2 557 3
2 558 4
2 559 10
2 560 7
2 561 6
2 562 8
2 563 5
2 564 4
2 565 10
2 566 5
2 567 5
2 568 1
2 569 7
2 570 1
2 571 3
2 572 3
2 573 9
2 574 5
2 575 4
2 576 2
2 577 2
2 578 2
2 579 10
2 580 1
2 581 1
2 582 1
2 583 3
2 584 6
2 585 8
2 586 7
2 587 10
2 588 2
2 589 10
2 590 9
2 591 8
2 592 7
2 593 6
2 594 2
2 595 2
2 596 5
2 597 9
2 598 6
2 599 8
2 600 7
2 601 7
2 602 10
2 603 2
2 604 5
2 605 4
2 606 7
2 607 8
2 608 7
2 609 10
2 610 8
2 611 7
2 612 1
2 613 10
2 614 1
2 615 8
2 616 7
2 617 7
2 618 9
2 619 8
2 620 8
2 621 7
2 622 7
2 623 6
2 624 4
2 625 8
2 626 7
2 627 10
2 628 8
2 629 3
2 630 7
2 631 5
2 632 1
2 633 8
2 634 6
2 635 5
2 636 1
2 637 2
2 638 3
2 639 9
2 640 1
2 641 2
2 642 6
2 643 3
2 644 1
2 645 8
2 646 2
2 647 7
2 648 5
2 649 10
2 650 6
2 651 4
2 652 6
2 653 2
2 654 2
2 655 1
2 656 1
2 657 8
2 658 1
2 659 9
2 660 2
2 661 7
2 662 5
2 663 2
2 664 5
2 665 10
2 666 9
2 667 7
2 668 3
2 669 3
2 670 6
2 671 3
2 672 4
2 673 3
2 674 8
2 675 4
2 676 10
2 677 1
2 678 2
2 679 6
2 680 1
2 681 7
2 682 10
2 683 8
2 684 10
2 685 3
2 686 9
2 687 10
2 688 10
2 689 9
2 690 10
2 691 4
2 692 7
2 693 4
2 694 7
2 695 1
2 696 5
2 697 5
2 698 10
2 699 7
3 4 7
3 5 5
3 6 2
3 7 10
3 8 9
3 9 1
3 10 5
3 11 10
3 12 1
3 13 6
3 14 6
3 15 1
3 16 2
3 17 7
3 18 1
3 19 3
3 20 9
3 21 9
3 22 5
3 23 10
3 24 9
3 25 4
3 26 5
3 27 5
3 28 10
3 29 2
3 30 8
3 31 6
3 32 8
3 33 7
3 34 3
3 35 5
3 36 3
3 37 6
3 38 6
3 39 1
3 40 6
3 41 3
3 42 10
3 43 8
3 44 8
3 45 7
3 46 9
3 47 2
3 48 3
3 49 1
3 50 4
3 51 3
3 52 9
3 53 8
3 54 5
3 55 7
3 56 4
3 57 9
3 58 1
3 59 5
3 60 10
3 61 8
3 62 10
3 63 8
3 64 6
3 65 2
3 66 4
3 67 8
3 68 9
3 69 1
3 70 10
3 71 6
3 72 3
3 73 2
3 74 4
3 75 3
3 76 8
3 77 4
3 78 4
3 79 3
3 80 4
3 81 9
3 82 7
3 83 2
3 84 7
3 85 1
3 86 10
3 87 2
3 88 10
3 89 2
3 90 6
3 91 1
3 92 10
3 93 5
3 94 10
3 95 7
3 96 9
3 97 3
3 98 5
3 99 7
3 100 6
3 101 4
3 102 5
3 103 8
3 104 5
3 105 8
3 106 2
3 107 5
3 108 1
3 109 5
3 110 9
3 111 4
3 112 4
3 113 5
3 114 7
3 115 2
3 116 6
3 117 6
3 118 5
3 119 7
3 120 7
3 121 10
3 122 7
3 123 8
3 124 6
3 125 7
3 126 5
3 127 4
3 128 1
3 129 1
3 130 3
3 131 6
3 132 4
3 133 9
3 134 6
3 135 1
3 136 6
3 137 7
3 138 7
3 139 8
3 140 4
3 141 5
3 142 1
3 143 9
3 144 1
3 145 9
3 146 2
3 147 6
3 148 4
3 149 6
3 150 2
3 151 2
3 152 5
3 153 1
3 154 2
3 155 2
3 156 9
3 157 6
3 158 8
3 159 9
3 160 6
3 161 2
3 162 7
3 163 1
3 164 10
3 165 2
3 166 3
3 167 5
3 168 10
3 169 1
3 170 2
3 171 5
3 172 5
3 173 4
3 174 3
3 175 6
3 176 2
3 177 4
3 178 3
3 179 7
3 180 1
3 181 7
3 182 10
3 183 7
3 184 9
3 185 1
3 186 9
3 187 7
3 188 8
3 189 6
3 190 5
3 191 5
3 192 7
3 193 1
3 194 6
3 195 6
3 196 4
3 197 10
3 198 2
3 199 6
3 200 1
3 201 5
3 202 10
3 203 7
3 204 8
3 205 5
3 206 4
3 207 1
3 208 10
3 209 7
3 210 7
3 211 1
3 212 5
3 213 6
3 214 9
3 215 3
3 216 9
3 217 7
3 218 9
3 219 6
3 220 4
3 221 5
3 222 1
3 223 2
3 224 8
3 225 8
3 226 9
3 227 1
3 228 9
3 229 10
3 230 8
3 231 9
3 232 4
3 233 10
3 234 8
3 235 3
3 236 6
3 237 1
3 238 3
3 239 5
3 240 9
